LastName,FirstName,id,occupation,ref,archivesspace,note,foundIn,foundIn2
Brooke,Col.,PERS-RHS-0001,colonel,,,,proceedings/vol-05-highwaystory,
Turner,Dr.,PERS-RHS-0002,,,,,proceedings/vol-05-highwaystory,
Campbell,Leslie,PERS-RHS-0003,,,,,proceedings/vol-05-highwaystory,
Huffman,Don,PERS-RHS-0004,,,,Chamber of Commerce,proceedings/vol-05-highwaystory,
Smail,Mrs. Lawrence,PERS-RHS-0005,artist,,,lives in Lexington,proceedings/vol-05-highwaystory,
Goolrick,Major Chester,PERS-RHS-0006,senator,,,member of the Rockbridge County Centennial Committee,proceedings/vol-05-highwaystory,
Connor,Dr. James,PERS-RHS-0007,history professor,,,VMI History Department,proceedings/vol-05-highwaystory,
Flournoy,Mrs. ,PERS-RHS-0008,,,,,proceedings/vol-05-highwaystory,
Barclay,Houston,PERS-RHS-0009,,,,,proceedings/vol-05-highwaystory,
Anderson,Brigidier General James,PERS-RHS-0010,State Highway Commissioner,https://www.newspapers.com/article/the-progress-index-anderson-james-a-s/10454664/,,,proceedings/vol-05-highwaystory,
Marshall,Justice John,PERS-RHS-0011,Chief Justice,,,,proceedings/vol-05-highwaystory,
Robertson,Absalom Willis,PERS-RHS-0012,senator,,,,proceedings/vol-05-highwaystory,proceedings/vol-10-1939remembered
White,Dr. Reid,PERS-RHS-0013,doctor,,,,proceedings/vol-05-highwaystory,proceedings/vol-10-1939remembered
Moore,Judge Stuart,PERS-RHS-0014,judge,,,,proceedings/vol-05-highwaystory,
McCulloch,Mrs.,PERS-RHS-0015,,,,,proceedings/vol-05-highwaystory,
Barclay,Elizabeth,PERS-RHS-0016,,,,a long devoted member of the Society,proceedings/vol-05-highwaystory,
Merritt,Mrs. John,PERS-RHS-0017,,,,Vice-president of the Society,proceedings/vol-05-highwaystory,
Baldwin,Laommi,PERS-RHS-0018,civil engineer,https://en.wikipedia.org/wiki/Loammi_Baldwin_Jr.,,Head of the first State of Public Works,proceedings/vol-05-highwaystory,
Crozet,Claudius,PERS-RHS-0019,civil engineer,,,,proceedings/vol-05-highwaystory,
Montague,Governor,PERS-RHS-0020,governor,,,,proceedings/vol-05-highwaystory,
Swanson,Governor,PERS-RHS-0021,governr,,,,proceedings/vol-05-highwaystory,
Wilson,P. St. Julian,PERS-RHS-0022,,,,The first Commissioner was P. St. Julian Wilson,proceedings/vol-05-highwaystory,
Coleman,George P.,PERS-RHS-0023,State Highway Commissioner,,,,proceedings/vol-05-highwaystory,
Wilson,President,PERS-RHS-0024,president,,,,proceedings/vol-05-highwaystory,
Byrd,Harry,PERS-RHS-0025,senator,,,,proceedings/vol-05-highwaystory,
Brown,Sinclair,PERS-RHS-0026,,,,,proceedings/vol-05-highwaystory,
Wilson,Captain,PERS-RHS-0027,highway commissioner,,,,proceedings/vol-05-highwaystory,
Thornton,William M.,PERS-RHS-0028,Dean of Engineering,,,University of Virginia,proceedings/vol-05-highwaystory,
Jones,Colonel T. A.,PERS-RHS-0029,civil engineering professor,,,V.M.I.,proceedings/vol-05-highwaystory,
Marr,Col. R. A.,PERS-RHS-0030,Dean of Engineering,,,V.P.I.(Virginia Tech),proceedings/vol-05-highwaystory,
Begg,Col.,PERS-RHS-0031,,,,,proceedings/vol-05-highwaystory,
Shirley,Henry G. ,PERS-RHS-0032,Chairman of the Virginia Highway Commission,,,Born in West Virginia and educated at Virginia Military Institute. Extensive railroad and highway experience when he assumed his duties as Chairman of the Virginia Highway Commission,proceedings/vol-05-highwaystory,
Corsie,Captain,PERS-RHS-0033,,,,Citzens of Lexington,proceedings/vol-05-highwaystory,
Letcher,Captain,PERS-RHS-0034,,,,Citzens of Lexington,proceedings/vol-05-highwaystory,
Hotinger,Rice,PERS-RHS-0035,,,,Citzens of Lexington,proceedings/vol-05-highwaystory,
Moore,Frank,PERS-RHS-0036,,,,Citzens of Lexington,proceedings/vol-05-highwaystory,
Glasgow,C.S.,PERS-RHS-0037,,,,Citzens of Lexington,proceedings/vol-05-highwaystory,
McClung,Hunter,PERS-RHS-0038,Doctor,,,Doctor at Jackson Memorial Hospital,proceedings/vol-10-1939remembered,
Pusey,Mary Hope,PERS-RHS-0039,Wife,,,Wife of professor at Washington and Lee University,proceedings/vol-10-1939remembered,
Cummings,Mary Frances,PERS-RHS-0040,Secretary,,,Secretary for both Washington and Lee University and Lexington High School,proceedings/vol-10-1939remembered,
