Name,From,PopupContent,Latitude,Longitude
" Lexington, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Lexington<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.78403962,-79.44525267
"Rockbridge County, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Rockbridge<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.7861,-79.4428
" Jamestown, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Jamestown<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.2083,-76.7744
" James River, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," James River<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.5249,-78.4738
" Lynchburg, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Lynchburg<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.4138,-79.1422
" Winchester, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Winchester<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",39.1857,-78.1633
"Staunton, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Staunton<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",38.1496,-79.0717
"Roanoke, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Roanoke<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.27,-79.9414
" Danville, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Danville<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",36.5859,-79.395
" Buena Vista, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Buena Vista<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.7347,-79.3562
" Clifton Forge, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Clifton Forge<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.8235,-79.8244
" Covington, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Covington<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.784,-79.9865
" Natural Bridge, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Natural Bridge<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.6286,-79.5446
" Balcony Falls, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Balcony Falls<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.6052,-79.4272
" Eagle Rock, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Eagle Rock<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.7072,-79.8169
" Virginia Military Institute, Lexington, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," V.M.I<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.7885,-79.443
" University of Virginia, Charlottesville, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," University of Virginia<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",38.0359,-78.5034
" Boston, MA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Boston<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",42.3601,-71.0589
" Seattle, WA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Seattle<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",47.6062,-122.3321
" Hampton Roads Bridge Tunnel, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Hampton Roads Bridge Tunnel<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",36.9861,-76.4267
" Norfolk, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Norfolk<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",36.8508,-76.2859
" Portsmouth, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Portsmouth<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",36.8354,-76.2983
" Chesapeake Bay Bridge, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Chesapeake Bay Bridge<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",38.9755,-76.3237
" Richmond-Petersburg Turnpike, VA",https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html," Richmond-Petersburg Turnpike<br />from <a href=""https://wludh.github.io/digital-editions/proceedings/vol-05-highwaystory.html"">A Highway Story</a>",37.3014,-77.3986
